Model Type,Textual Feature,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
random_forest,lemmatized_comment,0.6,False,True,True,False,0.5728155339805825,0.5048543689320388,9.239440202713013
random_forest,lemmatized_comment,0.6,False,True,False,False,0.616504854368932,0.46116504854368934,9.622249841690063
random_forest,lemmatized_comment,0.6,False,False,True,False,0.587378640776699,0.6019417475728155,8.25414490699768
random_forest,lemmatized_comment,0.6,False,False,False,False,0.5776699029126213,0.5631067961165048,8.565567970275879
random_forest,lemmatized_comment,0.7,True,True,True,False,0.5970873786407767,0.5922330097087378,7.516669988632202
random_forest,lemmatized_comment,0.7,True,True,False,False,0.6456310679611651,0.6456310679611651,7.156512975692749
random_forest,lemmatized_comment,0.7,True,False,True,False,0.6310679611650486,0.6359223300970874,7.515617847442627
random_forest,lemmatized_comment,0.7,True,False,False,False,0.6310679611650486,0.6407766990291263,7.269761085510254
random_forest,lemmatized_comment,0.7,False,True,True,False,0.5922330097087378,0.5631067961165048,9.165108919143677
random_forest,lemmatized_comment,0.7,False,True,False,False,0.616504854368932,0.42718446601941745,10.256985902786255
random_forest,lemmatized_comment,0.7,False,False,True,False,0.5776699029126213,0.587378640776699,8.527978897094727
random_forest,lemmatized_comment,0.7,False,False,False,False,0.5776699029126213,0.558252427184466,9.106077194213867
random_forest,lemmatized_comment,0.8,True,True,True,False,0.6116504854368932,0.6067961165048543,8.138799905776978
random_forest,lemmatized_comment,0.8,True,True,False,False,0.6456310679611651,0.6456310679611651,7.846853733062744
random_forest,lemmatized_comment,0.8,True,False,True,False,0.6310679611650486,0.6407766990291263,7.965318202972412
random_forest,lemmatized_comment,0.8,True,False,False,False,0.6310679611650486,0.6407766990291263,7.525752067565918
random_forest,lemmatized_comment,0.8,False,True,True,False,0.49514563106796117,0.4854368932038835,9.235358953475952
random_forest,lemmatized_comment,0.8,False,True,False,False,0.616504854368932,0.4223300970873786,10.381272077560425
random_forest,lemmatized_comment,0.8,False,False,True,False,0.5339805825242718,0.5631067961165048,8.843744993209839
random_forest,lemmatized_comment,0.8,False,False,False,False,0.5776699029126213,0.558252427184466,8.840082883834839
random_forest,stopwords_removal_nltk,0.5,True,True,True,False,0.6747572815533981,0.6699029126213593,6.956658124923706
random_forest,stopwords_removal_nltk,0.5,True,True,False,False,0.6504854368932039,0.6504854368932039,6.839997291564941
random_forest,stopwords_removal_nltk,0.5,True,False,True,False,0.6310679611650486,0.6310679611650486,6.890962839126587
random_forest,stopwords_removal_nltk,0.5,True,False,False,False,0.6553398058252428,0.6456310679611651,6.762369871139526
random_forest,stopwords_removal_nltk,0.5,False,True,True,False,0.5776699029126213,0.5485436893203883,8.640523195266724
random_forest,stopwords_removal_nltk,0.5,False,True,False,False,0.6359223300970874,0.5728155339805825,8.572774171829224
