Model Type,Textual Feature,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
mlp,lemmatized_comment,0.6,True,False,False,False,0.5776699029126213,0.5776699029126213,45.03546380996704
mlp,lemmatized_comment,0.6,False,True,True,False,0.616504854368932,0.6262135922330098,47.649742126464844
mlp,lemmatized_comment,0.6,False,True,False,False,0.5097087378640777,0.5145631067961165,49.04747414588928
mlp,lemmatized_comment,0.6,False,False,True,False,0.5145631067961165,0.5097087378640777,52.98667025566101
mlp,lemmatized_comment,0.6,False,False,False,False,0.5728155339805825,0.5825242718446602,49.57916212081909
mlp,lemmatized_comment,0.7,True,True,True,False,0.5533980582524272,0.5679611650485437,49.67935109138489
mlp,lemmatized_comment,0.7,True,True,False,False,0.5728155339805825,0.5728155339805825,49.38480496406555
mlp,lemmatized_comment,0.7,True,False,True,False,0.529126213592233,0.529126213592233,46.22395086288452
mlp,lemmatized_comment,0.7,True,False,False,False,0.5776699029126213,0.5776699029126213,45.00969314575195
mlp,lemmatized_comment,0.7,False,True,True,False,0.48058252427184467,0.4854368932038835,47.081010818481445
mlp,lemmatized_comment,0.7,False,True,False,False,0.5097087378640777,0.5194174757281553,46.19043731689453
mlp,lemmatized_comment,0.7,False,False,True,False,0.5436893203883495,0.5388349514563107,49.904550075531006
mlp,lemmatized_comment,0.7,False,False,False,False,0.5728155339805825,0.5922330097087378,49.57660913467407
mlp,lemmatized_comment,0.8,True,True,True,False,0.49029126213592233,0.49514563106796117,45.48877692222595
mlp,lemmatized_comment,0.8,True,True,False,False,0.5728155339805825,0.5728155339805825,50.49298596382141
mlp,lemmatized_comment,0.8,True,False,True,False,0.5436893203883495,0.5436893203883495,43.56290316581726
mlp,lemmatized_comment,0.8,True,False,False,False,0.5776699029126213,0.5825242718446602,45.55408787727356
mlp,lemmatized_comment,0.8,False,True,True,False,0.5097087378640777,0.5194174757281553,43.64790487289429
mlp,lemmatized_comment,0.8,False,True,False,False,0.5097087378640777,0.5194174757281553,44.704129219055176
mlp,lemmatized_comment,0.8,False,False,True,False,0.5339805825242718,0.5485436893203883,47.469972133636475
mlp,lemmatized_comment,0.8,False,False,False,False,0.5728155339805825,0.5922330097087378,49.73825693130493
mlp,stopwords_removal_nltk,0.5,True,True,True,False,0.5776699029126213,0.5825242718446602,39.71849703788757
mlp,stopwords_removal_nltk,0.5,True,True,False,False,0.5970873786407767,0.5922330097087378,35.72509789466858
mlp,stopwords_removal_nltk,0.5,True,False,True,False,0.529126213592233,0.529126213592233,39.580259799957275
mlp,stopwords_removal_nltk,0.5,True,False,False,False,0.5631067961165048,0.5631067961165048,37.97715091705322
mlp,stopwords_removal_nltk,0.5,False,True,True,False,0.5048543689320388,0.5,35.56258821487427
mlp,stopwords_removal_nltk,0.5,False,True,False,False,0.5388349514563107,0.5388349514563107,37.0864622592926
mlp,stopwords_removal_nltk,0.5,False,False,True,False,0.5436893203883495,0.5533980582524272,35.99077773094177
mlp,stopwords_removal_nltk,0.5,False,False,False,False,0.5485436893203883,0.5436893203883495,40.533735036849976
mlp,stopwords_removal_nltk,0.6,True,True,True,False,0.5825242718446602,0.5776699029126213,33.703333139419556
mlp,stopwords_removal_nltk,0.6,True,True,False,False,0.5970873786407767,0.5922330097087378,32.5004768371582
mlp,stopwords_removal_nltk,0.6,True,False,True,False,0.5436893203883495,0.5533980582524272,32.218226194381714
mlp,stopwords_removal_nltk,0.6,True,False,False,False,0.5631067961165048,0.558252427184466,34.9702262878418
mlp,stopwords_removal_nltk,0.6,False,True,True,False,0.5,0.5048543689320388,31.74926996231079
mlp,stopwords_removal_nltk,0.6,False,True,False,False,0.5388349514563107,0.5436893203883495,36.320950746536255
mlp,stopwords_removal_nltk,0.6,False,False,True,False,0.46116504854368934,0.47572815533980584,34.8657443523407
mlp,stopwords_removal_nltk,0.6,False,False,False,False,0.5485436893203883,0.5485436893203883,38.144285917282104
mlp,stopwords_removal_nltk,0.7,True,True,True,False,0.5242718446601942,0.5388349514563107,31.072625875473022
mlp,stopwords_removal_nltk,0.7,True,True,False,False,0.5970873786407767,0.5970873786407767,34.22068524360657
mlp,stopwords_removal_nltk,0.7,True,False,True,False,0.6019417475728155,0.6067961165048543,32.05942392349243
mlp,stopwords_removal_nltk,0.7,True,False,False,False,0.5631067961165048,0.558252427184466,36.8914999961853
mlp,stopwords_removal_nltk,0.7,False,True,True,False,0.49029126213592233,0.5048543689320388,34.82373094558716
mlp,stopwords_removal_nltk,0.7,False,True,False,False,0.5388349514563107,0.5436893203883495,34.15768599510193
mlp,stopwords_removal_nltk,0.7,False,False,True,False,0.5048543689320388,0.5097087378640777,33.36939287185669
mlp,stopwords_removal_nltk,0.7,False,False,False,False,0.5485436893203883,0.5485436893203883,37.11339712142944
mlp,stopwords_removal_nltk,0.8,True,True,True,False,0.5436893203883495,0.5533980582524272,36.78652882575989
mlp,stopwords_removal_nltk,0.8,True,True,False,False,0.5970873786407767,0.6019417475728155,32.04455900192261
mlp,stopwords_removal_nltk,0.8,True,False,True,False,0.5485436893203883,0.558252427184466,28.69616174697876
mlp,stopwords_removal_nltk,0.8,True,False,False,False,0.5631067961165048,0.558252427184466,21.275102138519287
mlp,stopwords_removal_nltk,0.8,False,True,True,False,0.5388349514563107,0.5436893203883495,20.50102686882019
mlp,stopwords_removal_nltk,0.8,False,True,False,False,0.5388349514563107,0.5485436893203883,20.976207971572876
mlp,stopwords_removal_nltk,0.8,False,False,True,False,0.49514563106796117,0.48058252427184467,20.565645694732666
mlp,stopwords_removal_nltk,0.8,False,False,False,False,0.5485436893203883,0.5631067961165048,21.546140909194946
mlp,stopwords_removal_lemmatization,0.5,True,True,True,False,0.5242718446601942,0.5242718446601942,25.20743727684021
mlp,stopwords_removal_lemmatization,0.5,True,True,False,False,0.558252427184466,0.558252427184466,23.820247173309326
mlp,stopwords_removal_lemmatization,0.5,True,False,True,False,0.5728155339805825,0.5728155339805825,24.504312992095947
mlp,stopwords_removal_lemmatization,0.5,True,False,False,False,0.5533980582524272,0.5631067961165048,24.1481192111969
mlp,stopwords_removal_lemmatization,0.5,False,True,True,False,0.5242718446601942,0.5242718446601942,24.032893180847168
