Model Type,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
naive_bayes,0.8,False,True,False,False,0.4077669902912621,0.587378640776699,4.788914918899536
naive_bayes,0.8,False,False,True,False,0.4174757281553398,0.5097087378640777,3.5770809650421143
naive_bayes,0.8,False,False,False,False,0.45145631067961167,0.5339805825242718,3.7525827884674072
mlp,0.5,True,True,True,False,0.6504854368932039,0.6553398058252428,78.81690406799316
mlp,0.5,True,True,False,False,0.6407766990291263,0.6407766990291263,72.55526518821716
mlp,0.5,True,False,True,False,0.6213592233009708,0.6213592233009708,68.4378387928009
mlp,0.5,True,False,False,False,0.6601941747572816,0.6601941747572816,86.04059267044067
mlp,0.5,False,True,True,False,0.6067961165048543,0.6019417475728155,71.32424306869507
mlp,0.5,False,True,False,False,0.6213592233009708,0.6262135922330098,66.40164089202881
mlp,0.5,False,False,True,False,0.5533980582524272,0.5533980582524272,86.38071918487549
